user_id, servings, diet, diet_type, food_goals,servings,diet,food_goals
2354,4.0, Yes, Vegan, Eat more vegetables,,,
1eac2b7b-e449-4731-8045-f9b91d011778,4.0,Yes,Vegan,Reduce carbs,,,
d91e7f29-2262-4eb4-9d35-b6873191dcbe,4.0,Yes,Pescatarian,Increase protein,,,
38398d05-0425-4758-8400-b85319a0f976,4.0,Yes,Vegan,Increase protein,,,
74049b6e-d332-4df1-b0f5-2be42e14e2a0,4.0,Yes,Vegan,Increase protein,,,
,,,,,0.0,None,
,,,,,0.0,None,
,,,,,0.0,None,
,,,,,0.0,None,
,,,,,0.0,None,
,,,,,3.0,None,
,,,,,3.0,vegetarian,
,,,,,3.0,vegetarian,Reduce carbs
